Frequency/sheet,Indicator,name,singularity,source,Link,Notes,Delay in advertising
Daily,רכישות בכרטיסי אשראי,,"ממוצע 7 ימים, מנוכה עונתיות",בנק ישראל,,"באתר קיים רק מ-2016, צריך לבקש מהם את הסדרות, איש קשר - שי צור",כ-3 ימים
Daily,גוגל טרנדס,,אינדקס,גוגל,,"מיוצר על ידי קוד נפרד, נתונים רק מ-2004",אין
,,,,,,,
,,,,,,,
Monthly,פדיון רשתות שיווק,Rev_trade,"מנוכה עונתיות, מחירי 2011",הלמס,rdata,,30 יום
Monthly,פדיון כל ענפי הכלכלה,Rev,"מנוכה עונתיות, מחירי 2011",הלמס,rdata,,50 יום
Monthly,"סה""כ מע""מ נטו",VAT,נתונים שוטפים,משרד האוצר,taxes,,אין
Monthly,מדד אמון הצרכנים,cons_trust,אינדקס,בנק הפועלים,rdata,,8 יום
,,,,,,,
,,,,,,,
Quarterly,הוצאה לצריכה פרטית,Private_consumption,מנוכה עונתיות,הלמס,Arkadi,,50 יום
Quarterly,ריבית בנק ישראל,Intrest_rate,בנקודות אחוז,בנק ישראל,GPMN,לקחת מ-GPMN אגרגציה רבעונית לפי נתונים יומיים,אין
