Type,Unnamed: 1,Unnamed: 2,Unnamed: 3,CBS,Tax,Tax.1,Tax.2,CBS.1,CBS.2,BOI,BOI.1,Boi.2,Boi.3,Boi.4,Boi.5,Boi.6,Boi.7,Tax.3,Tax.4,Tax.5,Tax.6,Tax.7,Tax.8,Tax.9,Tax.10,Tax.11,Tax.12,CBS.3,CBS.4,CBS.5,CBS.6,CBS.7,Boi.8,CBS.8,CBS.9,CBS.10,CBS.11,CBS.12
Source,,,,Real,Nominal,Nominal,Nominal,Nominal,SA,SA,Nominal,Real,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,SA,SA,SA,SA,SA,,,SA,SA,,SA
Release Lag,,,,15,0,0,0,16,12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,16,16,18,94,94,,,,,,
Date,Month,Quarter,Year,CPI,dir,indir,VAT,imp,cons_trust,real_credit_card,Oil,Reer,Dollar,TA35,TA125,Nasdaq,sp500,VAT_rate,rev,rev_trade,rev_trade2,rev_food,"סה""כ אגף מס הכנסה נטו",ניכויים ושוק ההון,"סה""כ מיסי יבוא","סה""כ מיסים מקומיים","סה""כ מסים עקיפים","שיעור אבטלה (גילאי 25-64, בנקודות אחוז)","שיעור השתתפות  (גילאי 25-64, בנקודות אחוז)",שיעור תעסוקה (גילאי 25-64),שכר ריאלי,משרות שכיר,"יתרות מט""ח במליוני דולרים",מדד מחירי דירות (1993=100) - אמצע התקופה הנסקרת,"מדדי ערך רכישות בכרטיסי אשראי (סה""כ) (2002=100)","מדד הייצור התעשייתי (סה""כ)",המדד המשולב למצב המשק,דירות שנמכרו בקצב שנתי
1995-01-01 00:00:00,1,1,1995,50.6440593404,,,,,,,18.039523809523807,,3.011714285714286,165.50652173913042,163.97826086956522,758.0123809523809,465.2499999999999,0.17,,,,,,,,,,,,,,,7655.846258,140.3,,,,
1995-02-01 00:00:00,2,1,1995,50.7285365036,,,,,,,18.569999999999993,93.34,3.00955,160.88699999999997,161.739,784.2436842105263,481.92473684210523,0.17,,,,,,,,,,,,,,,8618.617647,140.7,,,,
1995-03-01 00:00:00,3,1,1995,50.686297922,,,,,,,18.53913043478261,92.47,2.976142857142857,160.50809523809525,159.40047619047613,807.1621739130435,493.1530434782608,0.17,,,,,,,,,,,,,,,9091.118637,141.5,,,,
1995-04-01 00:00:00,4,2,1995,51.1509223196,,,,,,,19.896315789473686,90.55,2.958941176470588,166.3595,164.7245,825.3384210526316,507.90578947368414,0.17,,,,,,,,,,,,,,,9656.72182,142.7,,,,
1995-05-01 00:00:00,5,2,1995,51.6577852989,,,,,,,19.74181818181818,90,3.0042380952380956,180.1638095238095,176.94809523809522,859.7704545454545,523.8136363636363,0.17,,,,,,,,,,,,,,,9759.967516,144.4,,,,
1995-06-01 00:00:00,6,2,1995,51.8267396253,,,,,,,18.44590909090909,90.01,2.9810000000000003,190.041,188.3285,906.0354545454546,539.3540909090909,0.17,,,,,,,,,,,,,,,8931.500791,145.5,,,,
1995-07-01 00:00:00,7,3,1995,51.9534553701,,,,,,,17.325499999999998,90.34,2.9552857142857136,191.66227272727272,189.12181818181818,979.3639999999999,557.3665,0.17,,,,,,,,,,,,,,,9076.177137,148.7,,,,
1995-08-01 00:00:00,8,3,1995,52.5870340941,,,,,,,18.020869565217396,91.14,3.030782608695653,203.87954545454548,201.32590909090914,1009.5860869565221,559.1099999999999,0.17,,,,,,,,,,,,,,,8273.932258,151.8,,,,
1995-09-01 00:00:00,9,3,1995,53.0938970733,,,,,,,18.225500000000004,91.74,3.0355789473684203,209.76764705882348,206.19411764705882,1051,578.7655,0.17,,,,,,,,,,,,,,,8989.837323,151.9,,,,
1995-10-01 00:00:00,10,4,1995,53.6429986341,,,,,,,17.433181818181822,93.07,3.010277777777778,198.5370588235294,194.45411764705878,1022.1481818181818,582.9181818181817,0.17,,,,,,,,,,,,,,,8529.676778,153.5,,,,
1995-11-01 00:00:00,11,4,1995,54.0231458685,,,,,,,17.9925,93.45,3.042,195.40500000000003,189.73863636363637,1046.6366666666668,595.532380952381,0.17,,,,,,,,,,,,,,,8409.218931,157.9,,,,
1995-12-01 00:00:00,12,4,1995,54.6567245926,,,,,,,19.026500000000002,93.23,3.119736842105263,210.60380952380953,203.4204761904762,1047.035,614.5710000000001,0.17,,,,,,,,,,,,,,,8307.391547,162.7,,,,
1996-01-01 00:00:00,1,1,1996,55.1213489902,3615.7,3420.2,2420,703,,,18.854545454545452,92.65,3.1295454545454544,218.74565217391307,210.5717391304348,1024.9454545454544,614.4200000000001,0.17,,,,,4094.236,2775.426,703,465,3588,,,,,,9177.291682,164.7,,,,
1996-02-01 00:00:00,2,1,1996,55.6282119694,4442.9,3114,1999,637,,,19.0935,93.56,3.1131428571428574,215.5404761904762,206.92809523809518,1094.0165000000002,649.5420000000001,0.17,,,,,4438.306,2717.37,637,450,3086,,,,,,10024.639816,164.7,,,,
1996-03-01 00:00:00,3,1,1996,56.1773135302,4408.6,3707.4,2465,726,,,21.33238095238095,94.75,3.099105263157894,210.08199999999997,200.4405,1092.647142857143,647.0747619047619,0.17,,,,,4409.521,2903.474,726,481,3672,,,,,,9836.658213,167,,,,
