Unnamed: 0,Total gross income tax department,Total Refunds Income Tax Division,Total Income Tax Division Net,MK self -employed and companies (advances and cavalry),Deductions and the capital market,Real Estate Taxation,Independently promote,Independent tax differences,Independent cancellation,Companies promote,Tax difference companies,CPIs,Property tax,Praise tax,Purchase tax,A salary deduction,Goods and services,Sales Tax,VAT financial institutions (wages),Excess expenses,Bonds and diphoband,Deductions,Refunds of friendship,Refunds are independent,Appreciation tax refunds,Purchase Refunds
1996-01-01,4774990,-680754,4094236,1576273,2775426,423290,23709,600103,-4331,26460,936207,-5875,159430,108675,156272,2183611,224948,196775,60689,70820,13941,-33284,-541940,-112555,-16848,-6000
1996-02-01,4874888,-436582,4438306,1716841,2717370,440678,326348,202116,-6226,723337,688298,-217032,121792,146495,172882,2040219,191896,258045,61703,41306,17812,-34953,-342359,-83118,-5091,-3606
1996-03-01,4747461,-337940,4409521,1487508,2903474,356479,437301,119197,-2159,730004,205284,-2119,62541,140702,153513,2265911,194206,236928,59295,44452,20135,-19980,-246389,-69766,-11221,-6684
1996-04-01,4344514,-328559,4015955,1335356,2703784,305373,295287,102835,-3505,757856,187120,-4237,79702,95487,133888,2075698,172525,231896,87516,42520,13139,-20970,-272817,-42851,-7480,-3768
1996-05-01,4685959,-297485,4388474,1437866,2924300,323794,432090,110420,-4939,700649,202258,-2612,61818,124786,139256,2259705,188355,259031,55916,47858,28679,-18950,-145617,-141592,-4311,-2868
1996-06-01,4219192,-309144,3910048,1362368,2543934,312892,323198,153808,-4353,761807,132306,-4398,58135,100641,155001,1908199,170777,262471,53518,42387,15510,-16134,-92471,-197849,-10043,-5532
1996-07-01,5275393,-471700,4803693,1664682,3308043,302668,474844,116932,-3942,758705,322943,-4800,76484,92346,135372,2591462,204018,308877,45899,47745,25125,-33700,-224900,-234310,-3902,-3644
1996-08-01,4620461,-509112,4111349,1346313,2987938,286209,354186,123234,-5878,744798,134586,-4613,62130,96239,130065,2279710,206173,298453,53064,49167,28107,-48232,-240129,-255882,-4986,-4643
1996-09-01,4990972,-372648,4618324,1563366,3198959,228648,501668,125946,-2821,796276,143980,-1683,55398,60223,113446,2490302,221720,282085,53802,53036,11375,-26444,-190784,-161668,-8643,-7721
1996-10-01,4383494,-438401,3945093,1435500,2735434,212560,325279,119995,-7402,821045,179332,-2749,64511,52455,96763,2076888,192588,272624,51547,50828,26147,-39537,-263434,-161244,-4429,-4215
1996-11-01,5032927,-519094,4513833,1723506,3072494,236927,513250,144010,-2877,920990,151525,-3392,69713,70964,97544,2374642,217304,272018,50385,55482,10748,-17232,-368163,-134578,-3593,-6813
1996-12-01,4418483,-668837,3749646,1278940,2833590,305954,314112,137124,-5140,624866,211001,-3023,89978,97409,119858,2148921,183138,284343,48610,51927,19501,-14188,-537046,-115060,-6468,-6333
