Unnamed: 0,VAT will import gross,Local VAT Bruto,Return VAT autonomy and practitioners,Total VAT Net,Net customs,Currency tax will import,Total Missy Import,Net local purchase tax,Gross fuel tax
1996-01-01,1330.0,2196.0,-1106.0,2420.0,92.0,611.0,703.0,53.0,314.0
1996-02-01,1236.0,1653.0,-890.0,1999.0,91.0,546.0,637.0,43.0,296.0
1996-03-01,1284.0,2037.0,-856.0,2465.0,107.0,619.0,726.0,66.0,326.0
1996-04-01,1341.0,1692.0,-702.0,2331.0,80.0,525.0,605.0,19.0,322.0
1996-05-01,1264.0,1917.0,-801.0,2380.0,92.0,623.0,715.0,84.0,360.0
1996-06-01,1250.5,1649.0,-785.0,2114.5,88.0,616.2,704.2,16.0,334.0
1996-07-01,1298.6,2315.5,-872.0,2742.1,86.3,516.9,603.1999999999999,101.9,373.2
1996-08-01,1141.9,1771.9,-861.7,2052.1000000000004,84.6,530.11,614.71,50.1,379.7
1996-09-01,1148.8,2308.7,-787.9,2669.6,83.6,538.35,621.95,74.2,375.5
1996-10-01,1329.1,1641.9,-787.5,2183.5,90.1,622.88,712.98,101.3,360.6
1996-11-01,1123.8,2166.5,-865.4,2424.9,77.044,534.281,611.3249999999999,25.3,330.9
1996-12-01,1145.0,1631.0,-686.2,2089.8,87.998,671.8,759.798,84.3,387.3
1997-01-01,1228.2,2519.4,-866.1999999999999,2881.4000000000005,99.2,512.3,611.5,58.7,382.2
1997-02-01,1161.1,1825.8,-800.0,2186.8999999999996,89.7,522.4,612.1,24.5,351.5
1997-03-01,1563.9,2248.9,-813.2,2999.6000000000004,118.3,660.3,778.5999999999999,84.0,414.8
1997-04-01,1197.2,1708.1,-622.2,2283.1000000000004,103.1,533.3,636.4,17.1,392.4
1997-05-01,1285.5,2314.1,-989.9,2609.7,99.9,614.8,714.6999999999999,68.5,380.9
1997-06-01,1322.6,1728.7,-802.0,2249.3,97.9,792.2,890.1,50.4,425.8
1997-07-01,1312.8,2416.6,-893.9,2835.4999999999995,88.2,471.4,559.6,88.9,470.4
1997-08-01,1290.2,1970.3,-832.0,2428.5,92.1,531.4,623.5,98.7,443.5
1997-09-01,1272.8,2535.0,-867.0,2940.8,101.3,547.6,648.9,40.9,429.8
1997-10-01,1238.7,1929.3,-829.9,2338.1,80.0,535.5,615.5,108.5,398.6
1997-11-01,1327.4,2337.5,-930.0,2734.9,91.2,610.9,702.1,17.3,408.4
1997-12-01,1296.7,1838.0,-789.376,2345.3239999999996,99.492,814.9,914.3919999999999,84.4,460.7
1998-01-01,1213.8,2700.9,-1268.4,2646.2999999999997,83.9,452.2,536.1,18.6,403.4
1998-02-01,1264.3,1934.1,-758.0,2440.3999999999996,89.9,483.5,573.4,53.8,380.1
1998-03-01,1592.7,2594.9,-948.1,3239.5000000000005,114.5,703.9,818.4,73.6,453.8
1998-04-01,1485.7,1844.8,-1001.0,2329.5,98.9,663.7,762.6,22.1,419.0
1998-05-01,1327.5,2530.5,-934.8,2923.2,86.6,511.1,597.7,102.8,403.7
1998-06-01,1414.5,1868.5,-901.3,2381.7,94.7,722.6,817.3000000000001,60.9,467.7
1998-07-01,1394.1,2672.2,-1024.35,3041.95,88.6,524.2,612.8000000000001,65.7,461.7
1998-08-01,1381.2,2057.8,-892.8,2546.2,109.2,666.7,775.9000000000001,70.5,491.9
1998-09-01,1220.5,2708.8,-522.3,3407.0,94.9,601.5,696.4,83.8,407.9
1998-10-01,1504.0,2105.9,-1226.4,2383.5,112.2,796.4,908.6,71.2,446.3
1998-11-01,1567.4,2518.7,-1064.4,3021.7,99.9,534.8,634.6999999999999,70.2,453.9
1998-12-01,1582.5,2298.9,-1108.0,2773.4,97.9,654.7,752.6,60.0,448.6
1999-01-01,1348.3,3123.6,-1216.2,3255.7,89.8,494.0,583.8,58.0,463.9
1999-02-01,1440.1,2234.3,-780.9,2893.5,119.39999999999999,669.2,788.6,55.3,421.2
1999-03-01,1720.8,2684.4,-1221.1,3184.1,125.3,807.3,932.5999999999999,48.3,485.9
1999-04-01,1476.7,2270.0,-1170.9,2575.7999999999997,105.4,599.5,704.9,69.1,437.4
1999-05-01,1490.0,2562.7,-1062.7,2990.0,99.7,589.7,689.4000000000001,61.1,469.8
1999-06-01,1614.1,2180.3,-1134.0,2660.4,100.2,702.2,802.4000000000001,70.6,494.9
1999-07-01,1568.5,2956.0,-1177.3,3347.2,104.0,683.9,787.9,80.1,474.0
1999-08-01,1919.9,2366.5,-1088.2,3198.2,134.2,913.7,1047.9,77.9,542.4
1999-09-01,1526.1,3018.7,-1217.4,3327.399999999999,124.7,697.2,821.9000000000001,90.9,439.0
1999-10-01,1650.2,2200.9,-1113.2,2737.9000000000005,110.5,703.8,814.3,68.2,502.2
1999-11-01,1911.0,3066.0,-1383.2,3593.8,111.1,848.7,959.8000000000001,63.8,481.5
1999-12-01,1838.5,2346.3,-1358.4,2826.4,120.8,776.4,897.1999999999999,61.6,449.3
2000-01-01,1585.859,3359.29,-1353.1,3592.0489999999995,79.8,651.1,730.9,71.1,486.1
2000-02-01,1802.209,2528.5,-1453.0,2877.709,109.9,839.0,948.9,50.0,450.3
2000-03-01,1954.181,3056.9,-1296.5,3714.581,137.7,891.0,1028.7,49.0,418.9
2000-04-01,1719.6,2325.7,-1024.3,3021.0,111.3,761.4,872.6999999999999,60.3,443.3
2000-05-01,1931.7,3049.2,-1568.8,3412.0999999999995,136.9,771.3,908.1999999999999,61.5,509.6
2000-06-01,1780.5,2349.6,-1501.9,2628.2000000000003,117.0,838.6,955.6,71.4,470.1
2000-07-01,2045.2,3180.5,-1354.6,3871.1,120.9,835.3,956.1999999999999,83.1,534.6
2000-08-01,2028.8,2547.5,-1468.5,3107.8,132.1,893.6,1025.7,90.4,523.1
2000-09-01,1764.9,3306.5,-1463.6,3607.7999999999997,119.4,663.3,782.6999999999999,62.3,482.1
2000-10-01,1976.8,2460.7,-633.4,3804.1,119.5,710.6,830.1,15.6,445.4
2000-11-01,1999.098,3013.0,-2371.9,2640.198,116.3,772.1,888.4,19.4,422.1
2000-12-01,1727.9,2342.7,-1456.8,2613.8,119.6,779.7,899.3000000000001,28.6,480.1
2001-01-01,1824.0,3509.0,-865.0,4468.0,104.0,820.0,924.0,21.0,441.0
2001-02-01,1764.0,2657.0,-1963.0,2458.0,130.0,721.0,851.0,25.0,471.0
2001-03-01,1878.0,2933.0,-1456.0,3355.0,137.0,861.0,998.0,22.0,447.0
2001-04-01,1773.0,2478.0,-1227.0,3024.0,121.0,585.0,706.0,37.0,404.0
2001-05-01,1742.0,3130.0,-1494.0,3378.0,116.0,717.0,833.0,30.0,468.0
2001-06-01,1492.0,2435.0,-1143.0,2784.0,91.0,690.0,781.0,35.0,460.0
2001-07-01,1833.0,3254.0,-1365.0,3722.0,121.0,851.0,972.0,37.0,583.0
2001-08-01,1765.0,2522.0,-1171.0,3116.0,123.0,802.0,925.0,35.0,479.0
2001-09-01,1500.0,3339.0,-738.0,4101.0,105.0,619.0,724.0,52.0,470.0
2001-10-01,1559.0,2484.0,-1497.0,2546.0,103.0,658.0,761.0,33.0,478.0
2001-11-01,1582.0,3029.0,-1233.0,3378.0,106.0,669.0,775.0,27.0,479.0
2001-12-01,1680.0,2578.0,-1147.0,3111.0,100.0,827.0,927.0,30.0,521.0
2002-01-01,1927.0,3464.0,-1305.0,4086.0,117.0,970.0,1087.0,30.0,488.0
2002-02-01,1681.0,2620.0,-1080.0,3221.0,120.0,631.0,751.0,27.0,448.0
2002-03-01,1669.0,3223.0,-1177.0,3715.0,126.0,635.0,761.0,24.0,491.0
2002-04-01,1753.0,2628.0,-1061.0,3320.0,112.0,826.0,938.0,33.0,439.0
2002-05-01,1898.0,3002.0,-1257.0,3643.0,116.0,674.0,790.0,32.0,566.0
