Unnamed: 0,A direct tax,Indirect tax,Fees,Total budget
1996-01-01,3615.7,3420.2,175.0,7210.9
1996-02-01,4442.9,3114.0,189.0,7745.9
1996-03-01,4408.6,3707.4,176.9,8292.9
1996-04-01,4051.2,3154.1,140.2,7345.499999999999
1996-05-01,4320.3,3605.4,178.5,8104.200000000001
1996-06-01,4207.7,3213.1,182.7,7603.499999999999
1996-07-01,4586.8,3898.4,216.7,8701.900000000001
1996-08-01,4064.2,3144.0,180.2,7388.4
1996-09-01,4635.4,3911.4,164.7,8711.5
1996-10-01,3910.4,3438.5,204.3,7553.2
1996-11-01,4498.2,3484.4,169.8,8152.400000000001
1996-12-01,4054.2,4160.321999999997,238.8,8453.321999999996
1997-01-01,4752.9,3986.3,210.7,8949.900000000001
1997-02-01,4900.4,3227.5,195.5,8323.4
1997-03-01,5037.9,4297.1,238.7,9573.7
1997-04-01,4848.6,3401.2,207.3,8457.099999999999
1997-05-01,5178.0,3853.6,218.5,9250.1
1997-06-01,4465.1,3836.2,218.1,8519.4
1997-07-01,5412.7,4028.2,229.9,9670.8
1997-08-01,4872.7,3703.5,200.3,8776.5
1997-09-01,5402.5,4176.6,214.6,9793.7
1997-10-01,4850.8,3555.4,231.8,8638.0
1997-11-01,4748.5,4096.3,250.1,9094.9
1997-12-01,4810.4,4274.033,317.7,9402.133000000002
1998-01-01,5156.8,3681.0,230.2,9068.0
1998-02-01,4392.1,3690.2,237.6,8319.9
1998-03-01,6098.3,4582.0,275.6,10955.9
1998-04-01,5439.5,3588.0,228.5,9256.0
1998-05-01,5579.4,4057.6,230.0,9867.0
1998-06-01,4858.1,3844.4,242.4,8944.9
1998-07-01,6146.2,4327.0,240.8,10714.0
1998-08-01,5463.8,4029.5,201.3,9694.599999999999
1998-09-01,5758.9,4508.7,193.8,10461.399999999998
1998-10-01,5018.9,3886.4,242.6,9147.9
1998-11-01,4918.7,4455.4,257.4,9631.499999999998
1998-12-01,5198.6,4683.895999999999,412.6,10295.096
1999-01-01,5610.227,4510.171,263.86,10384.258000000002
1999-02-01,5360.965,4123.22,218.149,9702.334
1999-03-01,5201.181,4466.114,303.85,9971.144999999999
1999-04-01,5569.816,4185.324,290.136,10045.276
1999-05-01,6188.867,4274.587,301.79,10765.244000000002
1999-06-01,5616.147,4117.288,298.276,10031.711
1999-07-01,6368.26,4848.153,250.296,11466.709
1999-08-01,5725.948,4964.537,231.96699999999998,10922.452000000001
1999-09-01,6361.013,4737.575,205.026,11303.614
1999-10-01,5364.686,4258.221,331.741,9954.648
1999-11-01,6069.476,5243.295,288.121,11600.892
1999-12-01,6252.632,4877.324000000001,381.46,11511.416000000001
2000-01-01,6777.0,4913.0,250.0,11940.0
2000-02-01,7292.0,4323.0,270.0,11885.0
2000-03-01,7156.0,5253.0,170.0,12579.0
2000-04-01,7232.0,4696.0,290.0,12218.0
2000-05-01,7663.0,5039.0,340.0,13042.0
2000-06-01,6739.0,4033.0,320.0,11092.0
2000-07-01,7314.0,5628.0,300.0,13242.0
2000-08-01,7086.0,4904.0,280.0,12270.0
2000-09-01,7331.0,5271.0,280.0,12882.0
2000-10-01,7110.0,5079.0,300.0,12489.0
2000-11-01,7054.0,4198.0,300.0,11552.0
2000-12-01,6134.3,4255.603000000003,322.7,10712.603000000003
2001-01-01,7156.4,5852.1,330.0,13338.5
2001-02-01,7501.8,3927.8,278.5,11708.1
2001-03-01,7797.7,4933.2,357.7,13088.599999999999
2001-04-01,7055.1,4374.7,209.8,11639.6
2001-05-01,7823.5,4833.6,339.1,12996.2
2001-06-01,6877.0,4229.9,338.7,11445.599999999999
2001-07-01,7483.1,5427.3,333.5,13243.900000000001
2001-08-01,6920.9,4752.4,293.8,11967.099999999999
2001-09-01,7358.4,5263.8,227.1,12849.3
2001-10-01,5829.7,4190.4,321.1,10341.2
2001-11-01,6451.9,4544.4,321.7,11318.0
2001-12-01,6720.9,5143.2,323.0,12187.099999999999
2002-01-01,6576.0,5641.0,345.0,12562.0
2002-02-01,7020.0,4663.0,290.0,11973.0
2002-03-01,7143.0,5111.0,365.0,12619.0
2002-04-01,6638.0,4891.0,360.0,11889.0
2002-05-01,7127.0,5079.0,490.0,12696.0
2002-06-01,6286.0,4795.0,320.0,11401.0
2002-07-01,7879.0,6165.0,340.0,14384.0
2002-08-01,5826.0,5116.0,300.0,11242.0
2002-09-01,6655.0,6088.0,270.0,13013.0
2002-10-01,6103.0,5464.0,360.0,11927.0
2002-11-01,6100.0,4290.0,320.0,10710.0
2002-12-01,6572.6,5669.0,450.9,12692.5
2003-01-01,5672.5,4943.3,360.4,10976.2
2003-02-01,6436.1,4802.7,289.6,11528.400000000001
2003-03-01,6571.6,5762.7,373.2,12707.5
2003-04-01,6233.8,4294.4,208.6,10736.8
2003-05-01,6340.9,5494.4,342.7,12178.0
2003-06-01,5994.1,4789.6,348.2,11131.900000000001
2003-07-01,7162.7,5896.3,390.1,13449.1
2003-08-01,6319.1,5120.6,356.5,11796.2
2003-09-01,6488.0,5994.0,335.4,12817.4
2003-10-01,6332.6,5783.9,362.7,12479.2
2003-11-01,6226.8,5802.7,272.3,12301.8
2003-12-01,6415.0,4943.2,274.29999999999995,11632.5
2004-01-01,6405.5,5704.8,363.8,12474.1
2004-02-01,7229.0,4950.3,369.7,12549.0
2004-03-01,6926.5,6332.6,440.0,13699.1
2004-04-01,6673.2,4712.9,338.2,11724.3
2004-05-01,6879.3,6342.8,397.5,13619.6
2004-06-01,5780.5,4603.9,295.4,10679.8
2004-07-01,7061.0,5573.2,381.3,13015.5
2004-08-01,6202.5,6192.1,359.9,12754.5
2004-09-01,6875.7,5602.0,308.6,12786.3
2004-10-01,6404.8,5536.9,348.8,12290.5
2004-11-01,6506.1,5550.0,408.1,12464.2
2004-12-01,6794.2,5469.3,1084.0,13347.5
2005-01-01,7327.9,5958.7,369.4,13656.0
2005-02-01,7031.1,5065.6,318.9,12415.6
2005-03-01,7808.2,6079.2,393.7,14281.099999999999
2005-04-01,6976.8,4658.7,300.3,11935.8
2005-05-01,7928.6,7211.5,378.5,15518.6
2005-06-01,7262.8,5129.5,363.5,12755.8
2005-07-01,7449.7,6404.8,426.5,14281.0
2005-08-01,6983.3,6118.0,340.0,13441.3
2005-09-01,7779.0,6477.0,353.0,14609.0
2005-10-01,7077.0,5338.0,311.0,12726.0
2005-11-01,7319.0,5808.0,431.0,13558.0
2005-12-01,6491.0,5509.0,411.2,12411.2
2006-01-01,9145.9,6709.8,380.0,16235.7
2006-02-01,8863.7,5437.4,330.0,14631.1
2006-03-01,8539.1,6130.1,343.0,15012.2
2006-04-01,9180.7,6094.5,297.0,15572.2
2006-05-01,8359.8,6637.9,410.0,15407.699999999999
2006-06-01,7214.7,5470.2,396.0,13080.9
2006-07-01,8073.1,6636.8,387.0,15096.900000000001
2006-08-01,11052.0,5663.0,333.0,17048.0
2006-09-01,7936.0,6081.0,295.0,14312.0
2006-10-01,7051.0,6131.0,394.0,13576.0
2006-11-01,8377.0,6217.0,352.0,14946.0
2006-12-01,5180.9,5369.3,404.0,10954.2
2007-01-01,9832.0,7134.0,457.0,17423.0
2007-02-01,9894.0,5807.0,458.0,16159.0
2007-03-01,9430.0,6735.0,300.0,16465.0
2007-04-01,9112.0,5581.0,320.0,15013.0
2007-05-01,8588.0,7166.0,411.0,16165.0
2007-06-01,8325.0,5856.0,385.0,14566.0
