Date,effective_interest_rate,,,,,,,,,,,,,,,
1/27/1994,11.06938389,,,,,,,,,,,,,,,
1/28/1994,11.06938389,,,,,,,,,,,,,,,
1/29/1994,11.06938389,,,,,,,,,,,,,,,
1/30/1994,11.06938389,,,,,,,,,,,,,,,
1/31/1994,11.06938389,,,,,,,,,,,,,,,
2/1/1994,11.06938389,,,,,,,,,,,,,,,
2/2/1994,11.06938389,,,,,,,,,,,,,,,
2/3/1994,11.06938389,,,,,,,,,,,,,,,
2/4/1994,11.06938389,,,,,,,,,,,,,,,
2/5/1994,11.06938389,,,,,,,,,,,,,,,
2/6/1994,11.06938389,,,,,,,,,,,,,,,
2/7/1994,11.06938389,,,,,,,,,,,,,,,
2/8/1994,11.06938389,,,,,,,,,,,,,,,
2/9/1994,11.06938389,,,,,,,,,,,,,,,
2/10/1994,11.06938389,,,,,,,,,,,,,,,
2/11/1994,11.06938389,,,,,,,,,,,,,,,
2/12/1994,11.06938389,,,,,,,,,,,,,,,
2/13/1994,11.06938389,,,,,,,,,,,,,,,
2/14/1994,11.06938389,,,,,,,,,,,,,,,
2/15/1994,11.06938389,,,,,,,,,,,,,,,
2/16/1994,11.06938389,,,,,,,,,,,,,,,
2/17/1994,11.06938389,,,,,,,,,,,,,,,
2/18/1994,11.06938389,,,,,,,,,,,,,,,
2/19/1994,11.06938389,,,,,,,,,,,,,,,
2/20/1994,11.06938389,,,,,,,,,,,,,,,
2/21/1994,11.06938389,,,,,,,,,,,,,,,
2/22/1994,11.06938389,,,,,,,,,,,,,,,
2/23/1994,11.06938389,,,,,,,,,,,,,,,
2/24/1994,11.06938389,,,,,,,,,,,,,,,
2/25/1994,11.06938389,,,,,,,,,,,,,,,
2/26/1994,11.06938389,,,,,,,,,,,,,,,
2/27/1994,11.06938389,,,,,,,,,,,,,,,
2/28/1994,11.06938389,,,,,,,,,,,,,,,
3/1/1994,11.06938389,,,,,,,,,,,,,,,
3/2/1994,11.06938389,,,,,,,,,,,,,,,
3/3/1994,11.06938389,,,,,,,,,,,,,,,
3/4/1994,11.06938389,,,,,,,,,,,,,,,
3/5/1994,11.06938389,,,,,,,,,,,,,,,
3/6/1994,11.06938389,,,,,,,,,,,,,,,
3/7/1994,11.06938389,,,,,,,,,,,,,,,
3/8/1994,11.06938389,,,,,,,,,,,,,,,
3/9/1994,11.06938389,,,,,,,,,,,,,,,
3/10/1994,11.06938389,,,,,,,,,,,,,,,
3/11/1994,11.06938389,,,,,,,,,,,,,,,
3/12/1994,11.06938389,,,,,,,,,,,,,,,
3/13/1994,11.06938389,,,,,,,,,,,,,,,
3/14/1994,11.06938389,,,,,,,,,,,,,,,
3/15/1994,11.06938389,,,,,,,,,,,,,,,
3/16/1994,11.06938389,,,,,,,,,,,,,,,
3/17/1994,11.06938389,,,,,,,,,,,,,,,
3/18/1994,11.06938389,,,,,,,,,,,,,,,
3/19/1994,11.06938389,,,,,,,,,,,,,,,
3/20/1994,11.06938389,,,,,,,,,,,,,,,
3/21/1994,11.06938389,,,,,,,,,,,,,,,
3/22/1994,11.06938389,,,,,,,,,,,,,,,
3/23/1994,11.06938389,,,,,,,,,,,,,,,
3/24/1994,11.06938389,,,,,,,,,,,,,,,
3/25/1994,11.06938389,,,,,,,,,,,,,,,
3/26/1994,11.06938389,,,,,,,,,,,,,,,
3/27/1994,11.06938389,,,,,,,,,,,,,,,
3/28/1994,11.06938389,,,,,,,,,,,,,,,
3/29/1994,11.06938389,,,,,,,,,,,,,,,
3/30/1994,11.06938389,,,,,,,,,,,,,,,
3/31/1994,11.06938389,,,,,,,,,,,,,,,
4/1/1994,11.06938389,,,,,,,,,,,,,,,
4/2/1994,11.06938389,,,,,,,,,,,,,,,
4/3/1994,11.06938389,,,,,,,,,,,,,,,
4/4/1994,11.06938389,,,,,,,,,,,,,,,
4/5/1994,11.06938389,,,,,,,,,,,,,,,
4/6/1994,11.06938389,,,,,,,,,,,,,,,
4/7/1994,11.06938389,,,,,,,,,,,,,,,
4/8/1994,11.06938389,,,,,,,,,,,,,,,
4/9/1994,11.06938389,,,,,,,,,,,,,,,
4/10/1994,11.06938389,,,,,,,,,,,,,,,
4/11/1994,11.06938389,,,,,,,,,,,,,,,
4/12/1994,11.06938389,,,,,,,,,,,,,,,
4/13/1994,11.06938389,,,,,,,,,,,,,,,
4/14/1994,11.06938389,,,,,,,,,,,,,,,
4/15/1994,11.06938389,,,,,,,,,,,,,,,
4/16/1994,11.06938389,,,,,,,,,,,,,,,
4/17/1994,11.06938389,,,,,,,,,,,,,,,
4/18/1994,11.06938389,,,,,,,,,,,,,,,
4/19/1994,11.06938389,,,,,,,,,,,,,,,
4/20/1994,11.06938389,,,,,,,,,,,,,,,
4/21/1994,11.06938389,,,,,,,,,,,,,,,
4/22/1994,11.06938389,,,,,,,,,,,,,,,
4/23/1994,11.06938389,,,,,,,,,,,,,,,
4/24/1994,11.06938389,,,,,,,,,,,,,,,
4/25/1994,11.06938389,,,,,,,,,,,,,,,
4/26/1994,11.06938389,,,,,,,,,,,,,,,
4/27/1994,11.06938389,,,,,,,,,,,,,,,
4/28/1994,11.06938389,,,,,,,,,,,,,,,
4/29/1994,11.06938389,,,,,,,,,,,,,,,
4/30/1994,11.06938389,,,,,,,,,,,,,,,
5/1/1994,11.06938389,,,,,,,,,,,,,,,
5/2/1994,11.06938389,,,,,,,,,,,,,,,
5/3/1994,11.06938389,,,,,,,,,,,,,,,
5/4/1994,11.06938389,,,,,,,,,,,,,,,
5/5/1994,11.06938389,,,,,,,,,,,,,,,
5/6/1994,11.06938389,,,,,,,,,,,,,,,
5/7/1994,11.06938389,,,,,,,,,,,,,,,
5/8/1994,11.06938389,,,,,,,,,,,,,,,
5/9/1994,11.06938389,,,,,,,,,,,,,,,
5/10/1994,11.06938389,,,,,,,,,,,,,,,
5/11/1994,11.06938389,,,,,,,,,,,,,,,
5/12/1994,11.62595716,,,,,,,,,,,,,,,
5/13/1994,11.62595716,,,,,,,,,,,,,,,
5/14/1994,11.62595716,,,,,,,,,,,,,,,
5/15/1994,11.62595716,,,,,,,,,,,,,,,
5/16/1994,11.62595716,,,,,,,,,,,,,,,
5/17/1994,11.62595716,,,,,,,,,,,,,,,
5/18/1994,11.62595716,,,,,,,,,,,,,,,
5/19/1994,11.62595716,,,,,,,,,,,,,,,
5/20/1994,11.62595716,,,,,,,,,,,,,,,
5/21/1994,11.62595716,,,,,,,,,,,,,,,
5/22/1994,11.62595716,,,,,,,,,,,,,,,
5/23/1994,11.62595716,,,,,,,,,,,,,,,
5/24/1994,11.62595716,,,,,,,,,,,,,,,
5/25/1994,11.62595716,,,,,,,,,,,,,,,
5/26/1994,12.18531177,,,,,,,,,,,,,,,
5/27/1994,12.18531177,,,,,,,,,,,,,,,
5/28/1994,12.18531177,,,,,,,,,,,,,,,
5/29/1994,12.18531177,,,,,,,,,,,,,,,
5/30/1994,12.18531177,,,,,,,,,,,,,,,
