, Gross import VAT , Gross local VAT , VAT refund autonomy and traders , Total net VAT ,Net customs, Net import purchase tax , Total import taxes , Net local sales tax , Gross fuel tax ,,,
Jan-96," 1,330.0 "," 2,196.0 "," (1,106.0)"," 2,420 ", 92.0 , 611.0 , 703.0 , 53.0 , 314.0 ,,,
Feb-96," 1,236.0 "," 1,653.0 ", (890.0)," 1,999 ", 91.0 , 546.0 , 637.0 , 43.0 , 296.0 ,,,
Mar-96," 1,284.0 "," 2,037.0 ", (856.0)," 2,465 ", 107.0 , 619.0 , 726.0 , 66.0 , 326.0 ,,,
Apr-96," 1,341.0 "," 1,692.0 ", (702.0)," 2,331 ", 80.0 , 525.0 , 605.0 , 19.0 , 322.0 ,,,
May-96," 1,264.0 "," 1,917.0 ", (801.0)," 2,380 ", 92.0 , 623.0 , 715.0 , 84.0 , 360.0 ,,,
Jun-96," 1,250.5 "," 1,649.0 ", (785.0)," 2,115 ", 88.0 , 616.2 , 704.2 , 16.0 , 334.0 ,,,
Jul-96,"1,298.6","2,315.5",(872.0)," 2,742 ", 86.3 , 516.9 , 603.2 , 101.9 ,373.2,,,
Aug-96,"1,141.9","1,771.9",(861.7)," 2,052 ", 84.6 , 530.1 , 614.7 , 50.1 ,379.7 ,,,
Sep-96,"1,148.8","2,308.7",(787.9)," 2,670 ", 83.6 , 538.4 , 622.0 , 74.2 ,375.5 ,,,
Oct-96,"1,329.1","1,641.9",(787.5)," 2,184 ", 90.1 , 622.9 , 713.0 , 101.3 ,360.6,,,
Nov-96,"1,123.8","2,166.5",(865.4)," 2,425 ", 77.0 , 534.3 , 611.3 , 25.3 ,330.9,,,
Dec-96,"1,145.0","1,631.0",(686.2)," 2,090 ", 88.0 , 671.8 , 759.8 , 84.3 ,387.3,,,
Jan-97,"1,228.2","2,519.4",(866.2)," 2,881 ", 99.2 , 512.3 , 611.5 , 58.7 ,382.2,,,
Feb-97,"1,161.1","1,825.8",(800.0)," 2,187 ", 89.7 , 522.4 , 612.1 , 24.5 ,351.5,,,
Mar-97,"1,563.9","2,248.9",(813.2)," 3,000 ", 118.3 , 660.3 , 778.6 , 84.0 ,414.8,,,
Apr-97,"1,197.2","1,708.1", (622.2)," 2,283 ", 103.1 , 533.3 , 636.4 , 17.1 ,392.4,,,
May-97,"1,285.5","2,314.1",(989.9)," 2,610 ", 99.9 , 614.8 , 714.7 , 68.5 ,380.9,,,
Jun-97,"1,322.6","1,728.7",(802.0)," 2,249 ", 97.9 , 792.2 , 890.1 , 50.4 ,425.8,,,
