Date,Month,Quarter,Year,CPI,dir,indir,VAT,imp,cons_trust,real_credit_card,Oil,Reer,Dollar,TA35, TA125 ,Nasdaq,sp500,VAT_rate,rev,rev_trade,rev_trade2,rev_food,Total net income tax,Deductions and the capital market, Total import tax , Total local tax , Total indirect tax ," Unemployment rate (ages 25-64, in percentage points) "," Participation rate (ages 25-64, in percentage points) ", Employment rate (ages 25-64) , Real Salary , salaried jobs ,Foreign exchange reserves in millions of dollars,Apartment Price Index (1993=100) - Mid-period reviewed,Credit card purchase value indices (total) (2002=100),Industrial Production Index (Total),The combined index of the state of the economy,Apartments sold at an annual rate,,,,,,,,,,
1/1/1995,1.00,1.00,1995.00,50.6,,,,,,,18.03952381,,3.011714286,165.5,164.0,758.0,465.3,17%,,,,,,,,,,,,,,,7655.846258,140.3,,,,,,,,,,,,,,
2/1/1995,2.00,1.00,1995.00,50.7,,,,,,,18.57,93.34,3.00955,160.9,161.7,784.2,481.9,17%,,,,,,,,,,,,,,,8618.617647,140.7,,,,,,,,,,,,,,
3/1/1995,3.00,1.00,1995.00,50.7,,,,,,,18.53913043,92.47,2.976142857,160.5,159.4,807.2,493.2,17%,,,,,,,,,,,,,,,9091.118637,141.5,,,,,,,,,,,,,,
4/1/1995,4.00,2.00,1995.00,51.2,,,,,,,19.89631579,90.55,2.958941176,166.4,164.7,825.3,507.9,17%,,,,,,,,,,,,,,,9656.72182,142.7,,,,,,,,,,,,,,
5/1/1995,5.00,2.00,1995.00,51.7,,,,,,,19.74181818,90,3.004238095,180.2,176.9,859.8,523.8,17%,,,,,,,,,,,,,,,9759.967516,144.4,,,,,,,,,,,,,,
6/1/1995,6.00,2.00,1995.00,51.8,,,,,,,18.44590909,90.01,2.981,190.0,188.3,906.0,539.4,17%,,,,,,,,,,,,,,,8931.500791,145.5,,,,,,,,,,,,,,
7/1/1995,7.00,3.00,1995.00,52.0,,,,,,,17.3255,90.34,2.955285714,191.7,189.1,979.4,557.4,17%,,,,,,,,,,,,,,,9076.177137,148.7,,,,,,,,,,,,,,
8/1/1995,8.00,3.00,1995.00,52.6,,,,,,,18.02086957,91.14,3.030782609,203.9,201.3,1009.6,559.1,17%,,,,,,,,,,,,,,,8273.932258,151.8,,,,,,,,,,,,,,
9/1/1995,9.00,3.00,1995.00,53.1,,,,,,,18.2255,91.74,3.035578947,209.8,206.2,1051.0,578.8,17%,,,,,,,,,,,,,,,8989.837323,151.9,,,,,,,,,,,,,,
10/1/1995,10.00,4.00,1995.00,53.6,,,,,,,17.43318182,93.07,3.010277778,198.5,194.5,1022.1,582.9,17%,,,,,,,,,,,,,,,8529.676778,153.5,,,,,,,,,,,,,,
11/1/1995,11.00,4.00,1995.00,54.0,,,,,,,17.9925,93.45,3.042,195.4,189.7,1046.6,595.5,17%,,,,,,,,,,,,,,,8409.218931,157.9,,,,,,,,,,,,,,
12/1/1995,12.00,4.00,1995.00,54.7,,,,,,,19.0265,93.23,3.119736842,210.6,203.4,1047.0,614.6,17%,,,,,,,,,,,,,,,8307.391547,162.7,,,,,,,,,,,,,,
1/1/1996,1.00,1.00,1996.00,55.1," 3,616 "," 3,420 ","2,420.0", 703.0 ,,,18.85454545,92.65,3.129545455,218.7,210.6,1024.9,614.4,17%,,,,,4094.236,2775.426,703,465,3588,,,,,,9177.291682,164.7,,,,,,,,,,,,,,
2/1/1996,2.00,1.00,1996.00,55.6," 4,443 "," 3,114 ","1,999.0", 637.0 ,,,19.0935,93.56,3.113142857,215.5,206.9,1094.0,649.5,17%,,,,,4438.306,2717.37,637,450,3086,,,,,,10024.63982,164.7,,,,,,,,,,,,,,
3/1/1996,3.00,1.00,1996.00,56.2," 4,409 "," 3,707 ","2,465.0", 726.0 ,,,21.33238095,94.75,3.099105263,210.1,200.4,1092.6,647.1,17%,,,,,4409.521,2903.474,726,481,3672,,,,,,9836.658213,167.0,,,,,,,,,,,,,,
4/1/1996,4.00,2.00,1996.00,57.1," 4,051 "," 3,154 ","2,331.0", 605.0 ,,,23.49714286,95.95,3.164875,205.9,195.7,1135.6,647.2,17%,,,,,4015.955,2703.784,605,437,3373,,,,,,9589.817457,171.8,,,,,,,,,,,,,,
5/1/1996,5.00,2.00,1996.00,58.1," 4,320 "," 3,605 ","2,380.0", 715.0 ,,,21.16545455,95.81,3.25275,215.1,203.9,1220.5,661.2,17%,,,,,4388.474,2.9243,715,542,3637,,,,,,9373.064264,175.3,,,,,,,,,,,,,,
6/1/1996,6.00,2.00,1996.00,58.5," 4,208 "," 3,213 ","2,114.5", 704.2 ,,,20.4235,95.23,3.2555,214.7,203.2,1205.1,668.5,17%,,,,,3910.048,2543.934,704.2,458,3276.7,,,,,,9007.159597,174.6,,,,,,,,,,,,,,
7/1/1996,7.00,3.00,1996.00,58.7," 4,587 "," 3,898 ","2,742.1", 603.2 ,,,21.30227273,95.69,3.17947619,193.4,182.4,1105.6,644.1,17%,,,,,4803.693,3308.043,603.2,588.9,3934.2,,,,,,9052.032716,171.6,,,,,,,,,,,,,,
8/1/1996,8.00,3.00,1996.00,58.9," 4,064 "," 3,144 ","2,052.1", 614.7 ,,,21.90318182,97.73,3.146136364,187.3,176.9,1134.2,662.7,17%,,,,,4111.349,2987.938,614.71,531.5,3198.31,,,,,,9655.043929,170.8,,,,,,,,,,,,,,
9/1/1996,9.00,3.00,1996.00,59.1," 4,635 "," 3,911 ","2,669.6", 622.0 ,,,23.9715,98.46,3.166894737,199.2,189.7,1186.4,674.9,17%,,,,,4618.324,3198.959,621.95,540.7,3832.25,,,,,,10367.66982,173.5,,,,,,,,,,,,,,
10/1/1996,10.00,4.00,1996.00,59.6," 3,910 "," 3,439 ","2,183.5", 713.0 ,,,24.87913043,98.48,3.225347826,195.8,185.8,1234.0,701.5,17%,,,,,3945.093,2735.434,712.98,564,3460.48,,,,,,11819.77194,176.4,,,,,,,,,,,,,,
11/1/1996,11.00,4.00,1996.00,60.0," 4,498 "," 3,484 ","2,424.9", 611.3 ,,,23.705,97.67,3.244380952,203.4,193.7,1259.8,735.7,17%,,,,,4513.833,3072.494,611.325,460.5,3496.725,,,,,,11409.30777,177.1,,,,,,,,,,,,,,
12/1/1996,12.00,4.00,1996.00,60.4," 4,054 "," 4,160 ","2,089.8", 759.8 ,,,25.22857143,96.83,3.276473684,215.2,206.2,1292.2,743.2,17%,,,,,3749.646,2833.59,759.798,847,3696.598,,,,,,11574.63993,178.4,,,,,,,,,,,,,,
1/1/1997,1.00,1.00,1997.00,60.7," 4,753 "," 3,986 ","2,881.4", 611.5 ,,,25.13181818,97.6,3.276136364,242.9,234.5,1345.4,766.2,17%,,,,,5125.587,3493.219,611.5,593,4085.9,,,,,,12898.5557,181.8,,,,,,,,,,,,,,
2/1/1997,2.00,1.00,1997.00,61.4," 4,900 "," 3,228 ","2,186.9", 612.1 ,,,22.17631579,99.31,3.336647059,266.5,258.3,1349.2,798.4,17%,,,,,5129.962,3207.104,612.1,498.2,3297.2,,,,,,14069.48828,183.0,,,,,,,,,,,,,,
3/1/1997,3.00,1.00,1997.00,62.0," 5,038 "," 4,297 ","2,999.6", 778.6 ,,,20.965,100.68,3.366555556,255.6,248.0,1282.9,792.2,17%,,,,,5076.007,3338.114,778.6,627.1,4405.3,,,,,,15521.29619,183.2,,,,,,,,,,,,,,
