month_year,Total Gross Income Tax Division, Total refunds from the Income Tax Department ,Total Income Tax Division Net,Income tax for self-employed individuals and companies (advances and deductions),Deductions and the capital market,Real estate taxation,Independents advances,Self-employed tax differences,Independent Cancellations,Companies advances,tax differential companies,Cancellation companies,Property tax,praise tax,Real estate purchase tax,Deduction from salary,Goods and services,Non-profit institution tax,VAT Financial Institutions (Salary),excess expenses,Bonds and dividends,Cancellations Deductions,Companies returns,self employed returns, Capital Gains Tax Refunds , Purchase returns 
Jan-96,"4,774,990","-680,754","4,094,236.00","1,576,273","2,775,426","423,290","23,709","600,103","-4,331.00","26,460","936,207","-5,875.00","159,430","108,675","156,272","2,183,611","224,948","196,775","60,689","70,820","13,941","-33,284.00","-541,940.00","-112,555.00","-16,848","-6,000"
Feb-96,"4,874,888","-436,582","4,438,306.00","1,716,841","2,717,370","440,678","326,348","202,116","-6,226.00","723,337","688,298","-217,032.00","121,792","146,495","172,882","2,040,219","191,896","258,045","61,703","41,306","17,812","-34,953.00","-342,359.00","-83,118.00","-5,091","-3,606"
Mar-96,"4,747,461","-337,940","4,409,521.00","1,487,508","2,903,474","356,479","437,301","119,197","-2,159.00","730,004","205,284","-2,119.00","62,541","140,702","153,513","2,265,911","194,206","236,928","59,295","44,452","20,135","-19,980.00","-246,389.00","-69,766.00","-11,221","-6,684"
Apr-96,"4,344,514","-328,559","4,015,955.00","1,335,356","2,703,784","305,373","295,287","102,835","-3,505.00","757,856","187,120","-4,237.00","79,702","95,487","133,888","2,075,698","172,525","231,896","87,516","42,520","13,139","-20,970.00","-272,817.00","-42,851.00","-7,480","-3,768"
May-96,"4,685,959","-297,485","4,388,474.00","1,437,866","2,924,300","323,794","432,090","110,420","-4,939.00","700,649","202,258","-2,612.00","61,818","124,786","139,256","2,259,705","188,355","259,031","55,916","47,858","28,679","-18,950.00","-145,617.00","-141,592.00","-4,311","-2,868"
Jun-96,"4,219,192","-309,144","3,910,048.00","1,362,368","2,543,934","312,892","323,198","153,808","-4,353.00","761,807","132,306","-4,398.00","58,135","100,641","155,001","1,908,199","170,777","262,471","53,518","42,387","15,510","-16,134.00","-92,471.00","-197,849.00","-10,043","-5,532"
Jul-96,"5,275,393","-471,700","4,803,693.00","1,664,682","3,308,043","302,668","474,844","116,932","-3,942.00","758,705","322,943","-4,800.00","76,484","92,346","135,372","2,591,462","204,018","308,877","45,899","47,745","25,125","-33,700.00","-224,900.00","-234,310.00","-3,902","-3,644"
Aug-96,"4,620,461","-509,112","4,111,349.00","1,346,313","2,987,938","286,209","354,186","123,234","-5,878.00","744,798","134,586","-4,613.00","62,130","96,239","130,065","2,279,710","206,173","298,453","53,064","49,167","28,107","-48,232.00","-240,129.00","-255,882.00","-4,986","-4,643"
Sep-96,"4,990,972","-372,648","4,618,324.00","1,563,366","3,198,959","228,648","501,668","125,946","-2,821.00","796,276","143,980","-1,683.00","55,398","60,223","113,446","2,490,302","221,720","282,085","53,802","53,036","11,375","-26,444.00","-190,784.00","-161,668.00","-8,643","-7,721"
Oct-96,"4,383,494","-438,401","3,945,093.00","1,435,500","2,735,434","212,560","325,279","119,995","-7,402.00","821,045","179,332","-2,749.00","64,511","52,455","96,763","2,076,888","192,588","272,624","51,547","50,828","26,147","-39,537.00","-263,434.00","-161,244.00","-4,429","-4,215"
