indirect_tax_df_ Gross import VAT ,indirect_tax_df_ Gross local VAT ,indirect_tax_df_ VAT refund autonomy and traders ,indirect_tax_df_ Total net VAT ,indirect_tax_df_Net customs,indirect_tax_df_ Net import purchase tax ,indirect_tax_df_ Total import taxes ,indirect_tax_df_ Net local sales tax ,indirect_tax_df_ Gross fuel tax ,direct_tax_df_Total Gross Income Tax Division,direct_tax_df_ Total refunds from the Income Tax Department ,direct_tax_df_Total Income Tax Division Net,direct_tax_df_Income tax for self-employed individuals and companies (advances and deductions),direct_tax_df_Deductions and the capital market,direct_tax_df_Real estate taxation,direct_tax_df_Independents advances,direct_tax_df_Self-employed tax differences,direct_tax_df_Independent Cancellations,direct_tax_df_Companies advances,direct_tax_df_tax differential companies,direct_tax_df_Cancellation companies,direct_tax_df_Property tax,direct_tax_df_praise tax,direct_tax_df_Real estate purchase tax,direct_tax_df_Deduction from salary,direct_tax_df_Goods and services,direct_tax_df_Non-profit institution tax,direct_tax_df_VAT Financial Institutions (Salary),direct_tax_df_excess expenses,direct_tax_df_Bonds and dividends,direct_tax_df_Cancellations Deductions,direct_tax_df_Companies returns,direct_tax_df_self employed returns,direct_tax_df_ Capital Gains Tax Refunds ,direct_tax_df_ Purchase returns ,macro_monthly_df_CPI,macro_monthly_df_VAT,macro_monthly_df_cons_trust,macro_monthly_df_real_credit_card,macro_monthly_df_VAT_rate,"macro_monthly_df_ Unemployment rate (ages 25-64, in percentage points) ","macro_monthly_df_ Participation rate (ages 25-64, in percentage points) ",macro_monthly_df_ Employment rate (ages 25-64) ,macro_monthly_df_ Real Salary ,macro_monthly_df_ salaried jobs ,macro_monthly_df_Foreign exchange reserves in millions of dollars,macro_monthly_df_Apartment Price Index (1993=100) - Mid-period reviewed,macro_monthly_df_Credit card purchase value indices (total) (2002=100),macro_monthly_df_Industrial Production Index (Total),macro_monthly_df_The combined index of the state of the economy,macro_monthly_df_Apartments sold at an annual rate,Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,,17.0,,,,,,7655.846258,140.3,,,,,1995-01-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,17.0,,,,,,8618.617647,140.7,,,,,1995-02-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,,17.0,,,,,,9091.118637,141.5,,,,,1995-03-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,,,,17.0,,,,,,9656.72182,142.7,,,,,1995-04-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,17.0,,,,,,9759.967516,144.4,,,,,1995-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,,,,17.0,,,,,,8931.500791,145.5,,,,,1995-06-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,17.0,,,,,,9076.177137,148.7,,,,,1995-07-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,17.0,,,,,,8273.932258,151.8,,,,,1995-08-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,17.0,,,,,,8989.837323,151.9,,,,,1995-09-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,,,,17.0,,,,,,8529.676778,153.5,,,,,1995-10-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,17.0,,,,,,8409.218931,157.9,,,,,1995-11-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,,,,17.0,,,,,,8307.391547,162.7,,,,,1995-12-01
1330.0,2196.0,-1106.0,2420.0,92.0,611.0,703.0,53.0,314.0,4774990.0,-680754.0,4094236.0,1576273.0,2775426.0,423290.0,23709.0,600103.0,-4331.0,26460.0,936207.0,-5875.0,159430.0,108675.0,156272.0,2183611.0,224948.0,196775.0,60689.0,70820.0,13941.0,-33284.0,-541940.0,-112555.0,-16848.0,-6000.0,55.1,2420.0,,,17.0,,,,,,9177.291682,164.7,,,,,1996-01-01
1236.0,1653.0,-890.0,1999.0,91.0,546.0,637.0,43.0,296.0,4874888.0,-436582.0,4438306.0,1716841.0,2717370.0,440678.0,326348.0,202116.0,-6226.0,723337.0,688298.0,-217032.0,121792.0,146495.0,172882.0,2040219.0,191896.0,258045.0,61703.0,41306.0,17812.0,-34953.0,-342359.0,-83118.0,-5091.0,-3606.0,55.6,1999.0,,,17.0,,,,,,10024.63982,164.7,,,,,1996-02-01
