Date,GDP,C,G,I,EX,IM
1995-03-31,137233.0,70113.0,39908.0,37992.38,29244.223,36840.081
1995-06-30,140075.0,70332.0,40199.0,39062.304,30179.386,36457.797
1995-09-30,141735.0,71057.0,39525.0,39289.253,30462.717,36058.63
1995-12-31,142644.0,74417.0,40079.0,40124.547,31595.34,40014.707
1996-03-31,144319.0,74521.0,40262.0,40536.667,31807.756,39798.936
1996-06-30,147009.0,75124.0,41118.0,42313.937,30887.838,39567.856
1996-09-30,149009.0,75799.0,41773.0,41864.571,32414.162,40044.299
1996-12-31,151349.0,76032.0,42126.0,42863.837,33491.553,40472.251
1997-03-31,153123.0,77276.0,42428.0,42977.221,34422.559,41115.247
1997-06-30,153197.0,78052.0,42335.0,41372.408,35330.658,41892.745
1997-09-30,153346.0,78378.0,42502.0,41664.256,36221.859,42057.129
1997-12-31,156122.0,80277.0,42537.0,41173.221,36699.206,42598.726
1998-03-31,159175.0,81341.0,42946.0,42791.342,36321.602,42277.636
1998-06-30,158401.0,83356.0,43153.0,38905.991,39524.1647,43416.235
1998-09-30,159913.0,83888.0,43426.0,41357.722,37999.69,43369.894
1998-12-31,160588.0,84015.0,43241.0,41149.944,38530.162,43673.28
1999-03-31,160806.0,85207.0,43447.0,41426.029,39763.721,45997.77
1999-06-30,166024.0,86026.0,43955.0,46291.381,41621.754,49183.481
1999-09-30,166563.0,87801.0,44342.0,44450.04,45028.296,51747.444
1999-12-31,169905.0,88235.0,44768.0,44640.96,47040.667,52181.497
2000-03-31,171933.0,90513.0,44386.0,42983.663,50122.914,54337.446
2000-06-30,178221.0,92922.0,44503.0,43839.021,52446.166,54697.135
2000-09-30,183866.0,95834.0,44572.0,41573.025,61898.1473,56299.987
2000-12-31,184308.0,97749.0,45291.0,49899.497,51822.067,57537.442
2001-03-31,182532.0,97670.0,45859.0,46977.741,50959.0613,56453.856
2001-06-30,181005.0,97570.0,45975.0,46592.326,47760.971,53738.842
2001-09-30,179051.0,98048.0,45863.0,42841.161,46772.677,51728.789
2001-12-31,178311.0,98828.0,47751.0,41301.581,45302.06,50778.396
2002-03-31,179797.0,99915.0,47903.0,41534.717,45091.407,51676.077
2002-06-30,179847.0,99791.0,48298.0,40691.982,46918.082,53061.605
2002-09-30,179977.0,98461.0,48479.0,41835.501,46561.412,51990.662
2002-12-31,179899.0,99723.0,48618.0,39760.287,48327.5567,53031.218
2003-03-31,182413.0,98308.0,48228.0,39352.124,49459.9918,50675.856
2003-06-30,181464.0,99633.0,47211.0,38801.401,48486.086,51046.928
2003-09-30,182755.0,101200.0,47368.0,39133.016,51589.0097,53289.095
2003-12-31,183995.0,101202.0,46806.0,38639.845,53007.643,52033.716
2004-03-31,186656.0,102597.0,46519.0,39796.505,56523.0714,56586.021
2004-06-30,189050.0,103777.0,47289.0,38445.919,59102.4514,56964.25
2004-09-30,191723.0,104588.0,46920.0,40548.313,60989.0425,59097.709
2004-12-31,193983.0,107097.0,46807.0,38728.024,63605.801,60529.157
2005-03-31,196366.0,107468.0,47456.0,40283.392,62435.152,60038.533
